NuSTAR OBSID, Gal. Lon. [deg], Gal. Lat [deg], Avg. Exposure [s], Target
60201033002,317.86,13.66,21105.0,SWIFT_J1416d9m4640
60201034002,275.99,-43.39,25295.7,SWIFT_J0357d5m6255
60201037002,86.31,-42.83,17472.8,SWIFT_J2304d9p1220
60201038002,276.74,67.92,29206.1,SWIFT_J1212d9p0702
60201039002,4.48,-61.11,35756.2,SWIFT_J2242d4m3711
60201042002,338.16,-26.74,91327.3,ESO_141mG_055
60201043002,41.84,73.28,48718.7,OQ208
60201046002,236.01,-32.55,100434.5,ESO_362mG18
60201050002,138.13,60.08,96627.3,NGC_3998
60201053002,181.05,43.88,71422.7,NGC_2785
60201054002,134.58,-61.24,21122.1,J0113p0106
